date,country,event,country_full_name,letter_spacing
2024-09-30,fr,"Procès de Marine Le Pen, Jean-Marie Le Pen et 25 autres personnes pour détournement de fonds publics de l'Union européenne afin de rémunérer des assistants d'eurodéputés qui auraient travailler en réalité pour le Rassemblement national (jusqu’au 19 novembre).",France,-0.05
2024-10-01,fr,"Ouverture de la campagne annuelle Octobre rose*@*de sensibilisation au dépistage*@*du cancer du sein (jusqu'au 31 octobre).",France,0
2024-10-01,us,"Election présidentielle : débat télévisé entre les colistiers, *@*le démocrate Tim Walz et *@*le républicain J.D. Vance,*@*à New York.",États-Unis,0
2024-10-01,mx,"Prise de fonction de la nouvelle présidente, Claudia Sheinbaum, élue le 2 juin dernier,*@*pour un mandat de six ans.",Mexique,-0.025
2024-10-01,jp,"Prise de fonction du nouveau Premier ministre par le Parlement après un vote interne des partis.",Japon,-0.1
2024-10-02,fr,"Déclaration de politique générale de Michel Barnier à l’Assemblée nationale.",France,-0.1
2024-10-02,fr,"SNCF : mise en vente des billets (TGV, Intercités et Ouigo Grande Vitesse) pour les fêtes de fin d'année.",France,0
2024-10-04,fr,"Place publique : rencontres*@*du mouvement de Raphaël Glucksmann, à la Réole,*@*en Gironde (jusqu'au 6 octobre).",France,-0.025
2024-10-04,fr,"Fête de la science (jusqu'au 14 octobre).",France,0
2024-10-05,fr,"Journées portes ouvertes dans les refuges de la SPA (également le dimanche).",France,0
2024-10-06,tn,"Election présidentielle.",Tunisie,0
2024-10-06,fr,"Rassemblement national : rentrée politique, à Nice, avec Marine Le Pen, Jordan Bardella et Éric Ciotti.",France,0
