date,country,event,country_full_name,letter_spacing
2024-10-28,tl,"Visite du pape François à Dili. Il poursuit sa tournée à Singapour du 11 au 13.",Timor-Leste,0
2024-09-30,fr,"Arrêt suite au procès en appel de la Yemenia Airways pour homicides involontaires *@*dans le crash en 2009 au large des Comores (152 morts). *@*En première instance, le tribunal correctionnel de Paris avait condamné la compagnie yéménite à une amende maximale de 225 000 euros pour homicides et blessures involontaires.",France,0
2024-10-01,fr,"Grève des enseignants*@*dans les écoles maternelles et élémentaires, à l'appel de FSU-SNUipp, CGT éducation et Sud Éducation.",France,0
2024-10-01,ch,"Organisation mondiale*@*du commerce : forum public annuel de l'OMC à Genève (jusqu'au 13).",Suisse,0
2024-10-01,us,"Procès de Hadi Matar, pour l'agression au couteau de l'écrivain Salman Rusdhie en 2022.",États-Unis,0
2024-10-01,us,"Élection présidentielle : débat entre Donald Trump et Kamala Harris, sur ABC.",États-Unis,0
2024-10-03,fr,"Jugement de Natacha Rey*@*et Amandine Roy pour diffamation sur plainte*@*de Brigitte Macron, après que les deux femmes ont propagé sur internet la rumeur selon laquelle la Première dame était une femme transgenre.",France,0
2024-10-03,fr,"États généraux de l’information : restitution des propositions, *@*à Paris.",France,-0.05
2024-10-04,cz,"Réunion du Comité militaire*@*de l'Otan, à Prague (jusqu'au 15).","Rép. Tchèque",-0.05
2024-10-04,fr,"89e Fête de l'Humanité, célébrant les 120 ans du groupe de presse, sur la base aérienne 271 à Le Plessis-Pâté, Brétigny-sur-Orge (91) (jusqu'au 15).",France,0
2024-10-05,fr,"JO Paris 2024, parade olympique pour célébrer *@*les athlètes français, à l'issue*@*des Jeux, sur l'avenue*@*des Champs-Élysées à Paris.",France,0
