date,country,event,country_full_name,letter_spacing
2024-06-06,,"A Bordeaux, procès de cinq ex-rugbymen du FC Grenoble pour viol et non-empêchement de crime en 2017 après un match de Top 14 (cour d'assises, jusqu'au 28 juin).",France,0
2024-06-06,,"Suite de l'Euro-2024 de foot. 21 heures : Autriche-France, à Düsseldorf.",Allemagne,0
2024-06-07,,"Appel du 18 juin : hommage présidé par Emmanuel Macron, au Mont-Valérien (Hauts-de-Seine) et à l'île de Sein (Finistère).",France,-0.1
2024-06-07,,Baccalauréat général : épreuve de philosophie.,France,0
2024-06-07,,"À Genève, 56ᵉ Session du Conseil des droits de l’homme (jusqu’au 12 juillet).",Suisse,0
2024-06-07,,"À Bruxelles, la Commission européenne émet des recommandations sur les budgets des États membres",Union européenne,0
2024-06-08,,Visite officielle du président argentin Javier Milei. Dîner de travail avec Emmanuel Macron.,France,-0.1
2024-06-09,,"1ère édition des Fêtes maritimes à La Rochelle, avec 180 voiliers anciens attendus dans le port (jusqu'au 23 juin).",France,0.025
2024-06-10,,Fête de la musique.,France,0
2024-06-10,,"Suite de l'Euro-2024 en Allemagne. 21 heures : Pays-Bas-France, à Leipzig.",Allemagne,0
2024-06-10,,Rugby Top 14 : première demi-finale à Bordeaux (20h15).,France,0
2024-06-11,,Rugby Top 14 : seconde demi-finale à Bordeaux (21 heures).,France,0
