date,country,event,country_full_name,letter_spacing
2024-11-04,fr,"Attribution des prix Goncourt, puis Renaudot.",France,0
2024-11-04,fr,"Assassinat de Samuel Paty en 2020 : procès de huit majeurs pour leur implication présumée dans ce crime devant la cour d’assises spéciale (jusqu’au 20 décembre).",France,-0.50
2024-11-04,it,"OCDE : 7e Forum mondial sur*@*le bien-être organisé par l’OCDE, à Rome (Jusqu’au 6).",Italie,0
2024-11-05,us,"Élections présidentielle et législatives.",États-Unis,-0.75
2024-11-05,fr,"À l’Assemblée nationale : reprise des débats sur la partie « recettes » du projet de loi de finances.",France,-0.25
2024-11-05,fr,"Conférence des évêques de France*@*à Lourdes (jusqu’au 10).",France,-0.50
2024-11-05,fr,"Affaire Cédric Jubillar : décision*@*sur la date du procès aux assises.",France,-0.25
2024-11-05,fr,"Annonce des lauréats des prix Fémina.",France,0
2024-11-06,ru,"La Chambre haute du Parlement vote la ratification du traité stratégique avec la Corée du Nord.",Russie,-0.50
2024-11-06,fr,"Remise du prix Médicis.",France,0
2024-11-06,fr,"La justice rend sa décision dans la demande de déréférencement de vidéos pornographiques sur Google.",France,-0.1
2024-11-07,wd,"Sortie de la console PlayStation 5 Pro de Sony.",Monde,0
2024-11-07,co,"Conférence interministérielle mondiale à Bogota sur l’élimination de la violence faite aux enfants (et le 8).",Colombie,0
2024-11-07,fr,"À Marseille, comparution de 12 personnes physiques et morales pour « homicides et blessures involontaires », dans l’affaire*@*de l’effondrement de deux immeubles insalubres rue d’Aubagne en 2018.",France,-0.1
2024-11-07,ue,"Déplacement d’Emmanuel Macron à Budapest pour*@*le sommet de la Communauté politique européenne, puis*@*le Conseil européen informel*@*(et le 8).","Union européenne",0
2024-11-08,fr,"Les ministres Bruno Retailleau (Intérieur) et Didier Migaud (Justice) à Marseille pour présenter des mesures contre*@*le narcotrafic.",France,0
2024-11-09,fr,"Visite des présidents du Sénat*@*et de l’Assemblée nationale, Gérard Larcher et Yaël Braun-Pivet en Nouvelle-Calédonie, pour une mission de concertation et de dialogue (jusqu’au 14).",France,0
