date,country,event,country_full_name,letter_spacing
2024-11-11,fr,"Jour de l'armistice, commémorant la fin de la Première Guerre mondiale.",France,0
2024-11-11,az,"COP29 : conférence internationale pour le climat, à Bakou (jusqu’au 22 novembre). ",Azerbaïdjan,0
2024-11-12,fr,"Sénat : audition de Gabriel Attal dans le cadre de la mission d’information sur la dérive*@*des finances publiques.",France,0
2024-11-12,ch,"Vente par Sotheby's à Genève d'un collier de 500 diamants*@*du XVIIIe siècle, estimé*@*2 millions d'euros.",Suisse,0
2024-11-12,fr,"À Paris, procès de Cyril Hanouna pour des injures envers le député Louis Boyard dans son émission  « TPMP »*@*en 2022.",France,0
2024-11-13,fr,"Assises des départements, à Angers (jusqu'au 15 novembre).",France,-0.1
2024-11-14,fr,"Au Sénat, examen*@*de la proposition de loi transpartisane (Renaissance) visant à interdire la corrida aux moins de 16 ans.",France,0
2024-11-14,ie,"À Dublin, élection du nouveau président de World Rugby.*@*En lice, pour succéder*@*à Bill Beaumont, le Français Abdelatif Benazzi.",Irlande,0
2024-11-15,ue,"Commission européenne : présentation de ses prévisions économiques pour 2024 et 2025.","Union européenne",-0.1
2024-11-15,fr,"Sénat : audition d'Élisabeth Borne dans le cadre de la mission d’information sur la dérive*@*des finances publiques.",France,-0.25
2024-11-15,fr,"Agriculture : mobilisation nationale, avec manifestations,*@*à l'appel de la FNSEA*@*et des Jeunes Agriculteurs.",France,0
2024-11-15,fr,"Bande dessinée : parution*@*du 83e album de Lucky Luke*@*« Un cow-boy sous pression ».",France,0
2024-11-16,mx,"Concours Miss Univers 2024,*@*à Mexico.",Mexique,0
