date,country,event,country_full_name,letter_spacing
2024-09-23,ue,"Conseil Agriculture et Pêche,*@*à Bruxelles.","Union européenne",0
2024-09-23,fr,"Mode : présentation*@*des collections de prêt-à-porter féminin printemps/été 2025*@*à Paris (jusqu'au 1 er octobre).",France,0
2024-09-24,af,"79e session de l'Assemblée générale (jusqu'au septembre). Début des discours des chefs d'État et de gouvernement.",Afghanistan,0
2024-09-24,us,"Visite du Premier ministre israélien Benjamin Netanyahu. Première étape à New York,*@*au premier jour de l'Assemblée générale de l'ONU.",États-Unis,0
2024-09-25,ca,"Déplacement d'E. Macron à New York à l'occasion de la 79e session de l'Assemblée générale de l'Onu, puis au Canada (jusqu'au 27 septembre).",Canada,-0.1
2024-09-25,fr,"Conseil des ministres.",France,0
2024-09-25,fr,"Congrès de Régions de France, à Strasbourg (également le jeudi).",France,-0.1
2024-09-26,us,"Lancement de la mission Crew-9 SpaceX/Nasa vers la Station spatiale internationale, avec trois astronautes américains*@*et un cosmonaute russe (Centre spatial Kennedy, Floride).",États-Unis,-0.05
2024-09-26,lu,"Visite du pape François*@*au Luxembourg (arrivée à 10 h) d’où il repart à 17 h 45 pour une visite de trois jours en Belgique.",Luxembourg,0
2024-09-26,fr,"Affaire Jubillar : arrêt*@*de la cour d'appel de Toulouse sur le renvoi aux assises*@*du principal suspect, Cédric Jubillar, accusé de avoir tué sa femme Delphine.",France,0
2024-09-27,fr,"MoDem, université de rentrée,*@*à Guidel (jusqu'au 29 septembre).",France,-0.1
2024-09-28,fr,"Journée internationale pour*@*le droit à l'avortement. Manifestations en France*@*à l'appel du collectif Avortement en Europe, les femmes décident, regroupant ONG féministes, partis et syndicats.",France,-0.05
2024-09-28,fr,"Rencontres de la gauche organisées à Bram (Aude)*@*par Carole Delga, présidente socialiste de la région Occitanie.",France,0
