date,country,event,country_full_name,letter_spacing
2024-10-28,sa,"8e « Davos du désert » à Ryad.","Arabie Saoudite",0.1
2024-10-28,gb,"Trois militants de Just Stop Oil comparaissent pour*@*« dommages criminels » après avoir jeté de la soupe sur deux*@*Van Gogh à Londres.",Royaume-Uni,0.1
2024-10-28,fr,"Procès, à Paris, de l'acteur Gérard Depardieu pour agressions sexuelles sur deux femmes.",France,0.1
2024-10-28,fr,"68 e cérémonie du Ballon d'or,*@*à Paris (théâtre du Châtelet). Attribution de deux nouveaux trophées : le meilleur entraîneur de l’année d’une équipe masculine et féminine.",France,0.1
2024-10-28,ch,"À Genève, Conférence internationale de la Croix-Rouge et du Croissant-Rouge,*@*qui se tient tous les quatre ans (jusqu’au 31 octobre).",Suisse,0.1
2024-10-28,ma,"Visite d’État du président Emmanuel Macron (jusqu’au 30 octobre).",Maroc,0.1
2024-10-29,fr,"La fonction publique hospitalière se mobilise avec une grève des agents, soutenue par quatre syndicats (CGT, FO, Sud Solidaires, Unsa), pour protester contre le budget*@*de la Sécurité sociale de 2025.",France,-0.15
2024-10-30,us,"Conseil de sécurité à New York : votes sur le renouvellement*@*de la mission de l'ONU en Libye*@*et en Somalie.",États-Unis,-0.1
2024-10-31,fr,"Assemblée nationale : niche parlementaire du groupe RN.",France,0.1
2024-11-01,fr,"Sortie du nouvel album de The Cure : « Songs of a Lost World » (Polydor).",France,0.1
2024-11-01,fr,"Musique : cérémonie des NRJ Awards, à Cannes.",France,0.1
2024-11-02,gb,"Désignation du nouveau chef*@*du parti conservateur qui succède à Rishi Sunak. Les deux finalistes sont Kemi Badenoch, ancienne ministre du commerce extérieur, et Robert Jenrick, ex-secrétaire d'Etat à l'Immigration.",Royaume-Uni,0.1
2024-11-03,it,"A Gênes : G7 : réunion sur *@*le développement urbain*@*(jusqu'au 5).",Italie,0.1
2024-11-03,mo,"Second tour de l'élection présidentielle.",Macao,0.1
